Publisher,Time,Author,Language,Title
"Bantam; Revised, Updated edition","September 24, 2013",Jon Kabat-Zinn,English,"Full Catastrophe Living (Revised Edition): Using the Wisdom of Your Body and Mind to Face Stress, Pain, and Illness"
Sterling,"January 5, 2016",Marni Jameson,English,"Downsizing The Family Home: What to Save, What to Let Go (Downsizing the Home)"
Harper,"October 10, 2017",Esther Perel,English,The State of Affairs: Rethinking Infidelity
Dell,"May 11, 1999",Gavin de Becker,English,The Gift of Fear and Other Survival Signals that Protect Us From Violence
Shambhala; Pap/Com edition,"December 3, 2013",Eline Snel,English,Sitting Still Like a Frog: Mindfulness Exercises for Kids (and Their Parents)
Vintage; Reprint edition,"January 30, 2018",Michael Finkel,English,The Stranger in the Woods: The Extraordinary Story of the Last True Hermit
Anchor; 1 edition,,Anne Lamott,English,Bird by Bird: Some Instructions on Writing and Life
Currency; 1 edition,"September 14, 2010",Shawn Achor,English,The Happiness Advantage: The Seven Principles of Positive Psychology That Fuel Success and Performance at Work
Harvard Common Press; 4 edition,"July 1, 2017",Penny Simkin,English,"The Birth Partner, 4th Edition, Completely Revised and Updated: A Complete Guide to Childbirth for Dads, Doulas, and Other Labor Companions"
Kyle Books; 1 edition,"February 13, 2018",Robyn Youkilis,English,Thin from Within: The Go with Your Gut Way to Lose Weight
Cambridge University Press; 6 edition,,Stephen M. Stahl,English,Prescriber's Guide: Stahl's Essential Psychopharmacology
Alpha; 1 edition,"August 8, 2017",Sahara Rose Ketabi,English,Ayurveda (Idiot's Guides)
Touchstone; 1 edition,"March 2, 2010",Stephen D. Phinney,English,New Atkins for a New You: The Ultimate Diet for Shedding Weight and Feeling Great.
Sterling; Workbook edition,"January 2, 2018",Marni Jameson,English,"Downsizing the Family Home: A Workbook: What to Save, What to Let Go (Downsizing the Home)"
Harper Paperbacks; Revised edition,"December 29, 2015",Gretchen Rubin,English,"The Happiness Project (Revised Edition): Or, Why I Spent a Year Trying to Sing in the Morning, Clean My Closets, Fight Right, Read Aristotle, and Generally Have More Fun"
Magination Pr; 1 edition,"October 15, 2007",Dawn Huebner,English,What to Do When Your Temper Flares: A Kid's Guide to Overcoming Problems With Anger (What to Do Guides for Kids)
"Storey Publishing, LLC; Nineth edition","April 10, 2012",Rosemary Gladstar,English,"Rosemary Gladstar's Medicinal Herbs: A Beginner's Guide: 33 Healing Herbs to Know, Grow, and Use"
Althea Press,"November 18, 2015",Karen Frazier,English,"Crystals for Healing: The Complete Reference Guide With Over 200 Remedies for Mind, Heart & Soul"
The Guilford Press; 3rd edition,,William R. Miller,English,"Motivational Interviewing: Helping People Change, 3rd Edition (Applications of Motivational Interviewing)"
Sonoma Press; 1 edition,"October 21, 2015",Dorothy Calimeris,English,The Anti-Inflammatory Diet & Action Plans: 4-Week Meal Plans to Heal the Immune System and Restore Overall Health
Running Press Adult; 38928th edition,"January 8, 2003",Robert A. Glover,English,"No More Mr Nice Guy: A Proven Plan for Getting What You Want in Love, Sex, and Life"
Harper Paperbacks,"April 3, 2012",John Gray,English,"Men Are from Mars, Women Are from Venus: The Classic Guide to Understanding the Opposite Sex"
On-Word Bound Books; 40081st edition,"September 1, 2009",Deborah Adele,English,The Yamas & Niyamas: Exploring Yoga's Ethical Practice
Human Kinetics; 3 edition,"March 9, 2010",Frederic Delavier,English,"Strength Training Anatomy, 3rd Edition"
Human Kinetics; 4 edition,,NSCA -National Strength & Conditioning Association,English,Essentials of Strength Training and Conditioning 4th Edition With Web Resource
Sounds True; 1st Edition edition,"April 1, 2015",Mariam Gates,English,Good Night Yoga: A Pose-by-Pose Bedtime Story
QuickStudy; Lam Rfc Cr edition,"May 31, 2014",Inc. BarCharts,English,Dsm-5 Overview (Quick Study Academic)
Greenleaf Book Group Press; 1 edition,"February 4, 2014",Joe Cross,English,"The Reboot with Joe Juice Diet: Lose Weight, Get Healthy and Feel Amazing"
Ballantine Books; 1 edition,"August 23, 2016",Paul Thomas M.D.,English,The Vaccine-Friendly Plan: Dr. Paul's Safe and Effective Approach to Immunity and Health-from Pregnancy Through Your Child's Teen Years
Ten Speed Press; 1 edition,"September 27, 2016",Danielle Walker,English,"Danielle Walker's Against All Grain Celebrations: A Year of Gluten-Free, Dairy-Free, and Paleo Recipes for Every Occasion"
Bantam,"February 29, 2000",Pete Egoscue,English,Pain Free: A Revolutionary Method for Stopping Chronic Pain
Fireside,"July 15, 1988",Brian L. Weiss,English,"Many Lives, Many Masters: The True Story of a Prominent Psychiatrist, His Young Patient, and the Past-Life Therapy That Changed Both Their Lives"
Back Bay Books; Reprint edition,"April 7, 2015",Malcolm Gladwell,English,"David and Goliath: Underdogs, Misfits, and the Art of Battling Giants"
Three Rivers Press; Reprint edition,"December 23, 2003",Byron Katie,English,Loving What Is: Four Questions That Can Change Your Life
Vintage; Reprint edition,"March 29, 2011",Christopher McDougall,English,"Born to Run: A Hidden Tribe, Superathletes, and the Greatest Race the World Has Never Seen"
Adams Media; 6th ed. edition,"October 1, 2002",Sherry Argov,English,Why Men Love Bitches: From Doormat to Dreamgirl―A Woman's Guide to Holding Her Own in a Relationship
New Harbinger Publications; Workbook edition,"April 1, 2017",Evelyn Tribole,English,The Intuitive Eating Workbook: Ten Principles for Nourishing a Healthy Relationship with Food (A New Harbinger Self-Help Workbook)
Victory Belt Publishing; 1 edition,"January 2, 2018",Maria Emmerich,English,Easy Dairy-Free Ketogenic Recipes: Family Favorites Made Low-Carb and Healthy
Gallery Books; Revised edition,"October 5, 2004",Dale Carnegie,English,How to Stop Worrying and Start Living
Backfitpro Inc.; 1st edition,"September 30, 2015",Stuart McGill,English,Back Mechanic by Dr. Stuart McGill (2015-09-30)
Three Rivers Press,"September 14, 2010",Cesar Millan,English,How to Raise the Perfect Dog: Through Puppyhood and Beyond
Shambhala; Box Crds edition,"April 4, 2017",Susan Kaiser Greenland,English,Mindful Games Activity Cards: 55 Fun Ways to Share Mindfulness with Kids and Teens
Trumpeter; 1 edition,"June 3, 2008",Russ Harris,English,The Happiness Trap: How to Stop Struggling and Start Living: A Guide to ACT
VeloPress,"December 13, 2017",Jay Dicharry,English,"Running Rewired: Reinvent Your Run for Stability, Strength, and Speed"
The Experiment,"May 16, 2017",Matt Frazier,English,"The No Meat Athlete Cookbook: Whole Food, Plant-Based Recipes to Fuel Your Workouts―and the Rest of Your Life"
Touchstone; Anniversary edition,"February 4, 2003",M. Scott Peck,English,"The Road Less Traveled, Timeless Edition: A New Psychology of Love, Traditional Values and Spiritual Growth"
Rockridge Press,"February 14, 2017",Michelle Anderson,English,The Type 2 Diabetic Cookbook & Action Plan: A Three-Month Kickstart Guide for Living Well with Type 2 Diabetes
Grand Central Life &amp; Style; 1st edition,"January 5, 2016",David Ludwig,English,"Always Hungry?: Conquer Cravings, Retrain Your Fat Cells, and Lose Weight Permanently"
"William Morrow Paperbacks; 20th,Anniversary edition","January 10, 2017",John W. James,English,"The Grief Recovery Handbook, 20th Anniversary Expanded Edition: The Action Program for Moving Beyond Death, Divorce, and Other Losses including Health, Career, and Faith"
Adams Media,"April 18, 2011",John Pfeiffer,English,"Dude, You're Gonna Be a Dad!: How to Get (Both of You) Through the Next 9 Months"
Worth Publishers; 3 edition,,Kathleen Stassen Berger,English,Invitation to the Life Span
Harper Perennial Modern Classics; 1 edition,"July 1, 2008",Mihaly Csikszentmihalyi,English,Flow: The Psychology of Optimal Experience (Harper Perennial Modern Classics)
Rodale Kids,"December 5, 2017",Kira Willey,English,"Breathe Like a Bear: 30 Mindful Moments for Kids to Feel Calm and Focused Anytime, Anywhere"
Nilgiri Press; 2nd edition,"May 17, 2007",Eknath Easwaran,English,"The Bhagavad Gita, 2nd Edition"
Thomas Nelson; unknown edition,"December 15, 2010",Lysa TerKeurst,English,"Made to Crave: Satisfying Your Deepest Desire with God, Not Food"
Ghost Mountain Books; 1 edition,,Travis Stork,English,"The Lose Your Belly Diet: Change Your Gut, Change Your Life"
"Touchstone; Revised, Expanded edition","May 23, 2006",Richard Ferber,English,"Solve Your Child's Sleep Problems: New, Revised, and Expanded Edition"
Workman Publishing; 1 edition,"February 28, 2012",Austin Kleon,English,Steal Like an Artist: 10 Things Nobody Told You About Being Creative
Ballantine Books; 4620 edition,"August 28, 2007",Meg Meeker,English,"Strong Fathers, Strong Daughters: 10 Secrets Every Father Should Know"
Penguin Press,"May 15, 2018",Michael Pollan,English,"How to Change Your Mind: What the New Science of Psychedelics Teaches Us About Consciousness, Dying, Addiction, Depression, and Transcendence"
Mod By Dom; 1 edition,"August 2, 2016",Rebecca Weller,English,A Happier Hour
Back Bay Books; Revised edition,"June 22, 2009",Dave Grossman,English,On Killing: The Psychological Cost of Learning to Kill in War and Society
Avery; 1 edition,"April 4, 2017",Terry Wahls M.D.,English,The Wahls Protocol Cooking for Life: The Revolutionary Modern Paleo Plan to Treat All Chronic Autoimmune Conditions
Portfolio; 1 edition,"November 4, 2014",Nir Eyal,English,Hooked: How to Build Habit-Forming Products
"Hay House, Inc.","April 4, 2017",Rosalee de la Forêt,English,Alchemy of Herbs: Transform Everyday Ingredients into Foods and Remedies That Heal
Amber-Allen Publishing,"November 1, 2011",Don Miguel Ruiz,English,The Fifth Agreement: A Practical Guide to Self-Mastery (Toltec Wisdom)
Alpha,"December 12, 2017",Stephanie Tornatore,English,Healthy Meal Prep: Time-saving plans to prep and portion your weekly meals
Workman Publishing Company; 2nd Expanded ed. edition,"January 13, 2011",Michele Bender,English,Curly Girl: The Handbook
HarperTorch; 1st edition,"April 25, 2006",Robert M Pirsig,English,Zen and the Art of Motorcycle Maintenance: An Inquiry into Values
Victory Belt Publishing; First Edition edition,"November 17, 2008",Kevin Howell,English,Jiu-Jitsu University
