Publisher,Time,Author,Title,ID
Hendrickson Pub; Updated edition,7/1/93,Alfred Edersheim,The Life and Times of Jesus the Messiah: New Updated Edition,1611
Presidio Press; 5/30/04 edition,6/29/04,Harold G. Moore,We Were Soldiers Once...and Young: Ia Drang - The Battle That Changed the War in Vietnam,1612
"Da Capo Press; First Edition, First Printing edition",3/14/17,John Wukovits,Tin Can Titans: The Heroic Men and Ships of World War II's Most Decorated Navy Destroyer Squadron,1613
Vendome Press,10/31/17,Kirk Henckels,Life at the Top: New York's Exceptional Apartment Buildings,1614
AuthorHouse; 2.2.2011 edition,2011/3/4,David Imhotep,The First Americans Were Africans: Documented Evidence,1615
University of Chicago Press; 1 edition,,Douglas A. Irwin,Clashing over Commerce: A History of US Trade Policy (Markets and Governments in Economic History),1616
Dey Street Books; Reprint edition,1/16/18,Allan J. Lichtman,The Case for Impeachment,1617
"Farrar, Straus and Giroux; 1st edition",4/28/00,Jamaica Kincaid,A Small Place,1618
Back Bay Books; Reprint edition,3/14/17,Saul David,"Operation Thunderbolt: Flight 139 and the Raid on Entebbe Airport, the Most Audacious Hostage Rescue Mission in History",1619
DK Eyewitness Travel; Revised edition,5/17/16,DK Travel,DK Eyewitness Travel Guide: Vienna,1620
Simon &amp; Schuster; Reprint edition,6/1/95,Stephen E. Ambrose,"D Day: June 6, 1944: The Climactic Battle of World War II",1621
William Morrow; 1 edition,6/13/17,Scott Nations,A History of the United States in Five Crashes: Stock Market Meltdowns That Defined a Nation,1622
Penguin Workshop; Dgs edition,4/21/15,Ellen Labrecque,Who Was Winston Churchill?,1623
Simon &amp; Schuster,,Leslie Berlin,Troublemakers: Silicon Valley_�s Coming of Age,1624
Penguin Books; Reprint edition,02/16/08,Robert Macfarlane,Landmarks,1625
"DK Eyewitness Travel; Reprint, Revised edition",1/16/18,DK Travel,DK Eyewitness Travel Guide Provence & The Cote d'Azur,1626
Shambhala; 9.1.2010 edition,9/14/10,Cynthia Bourgeault,The Meaning of Mary Magdalene: Discovering the Woman at the Heart of Christianity,1627
Liveright; 1 edition,,Michael Wallis,The Best Land Under Heaven: The Donner Party in the Age of Manifest Destiny,1628
Penguin Books; Revised ed. edition,5/1/95,Malidoma Patrice Some,"Of Water and the Spirit: Ritual, Magic and Initiation in the Life of an African Shaman (Compass)",1629
Penguin Workshop,2008/7/3,June Eding,Who Was Queen Elizabeth?,1630
Random House,7/25/17,Svetlana Alexievich,The Unwomanly Face of War: An Oral History of Women in World War II,1631
William Morrow; First Edition edition,5/23/17,"N. Jack ""Dusty"" Kleiss",Never Call Me a Hero: A Legendary American Dive-Bomber Pilot Remembers the Battle of Midway,1632
Scribner; Reprint edition,06/15/10,S. C. Gwynne,"Rebel Yell: The Violence, Passion, and Redemption of Stonewall Jackson",1633
DK Eyewitness Travel; Revised edition,01/16/03,DK Travel,DK Eyewitness Travel Guide: Austria,1634
W. W. Norton &amp; Company; 5 edition,,Eric Foner,Give Me Liberty!: An American History (Fifth Brief Edition)  (Vol. 2),1635
Bloomsbury USA; 1st Edition edition,10/24/17,Steven J. Ross,Hitler in Los Angeles: How Jews Foiled Nazi Plots Against Hollywood and America,1636
Berkley Books,2004/10/5,Peter Vronsky,Serial Killers: The Method and Madness of Monsters,1637
Chronicle Books,06/14/05,Shaun Usher,Letters of Note: An Eclectic Collection of Correspondence Deserving of a Wider Audience,1638
CreateSpace Independent Publishing Platform,11/17/05,Ancient Renewal,The Manual: A Philosopher's Guide to Life,1639
Shambhala; First American Edition edition,2008/8/12,Cynthia Bourgeault,The Wisdom Jesus: Transforming Heart and Mind--A New Perspective on Christ and His Message,1640
Independently published,,William F. Brown,Our Vietnam Wars: as told by 100 veterans who served,1641
Grove Press; Reprint edition,2009/11/3,Bob Drury,The Last Stand of Fox Company: A True Story of U.S. Marines in Combat,1642
Mariner Books; Reprint edition,,Mark Miodownik,Stuff Matters: Exploring the Marvelous Materials That Shape Our Man-Made World,1643
Oxford University Press; 1 edition,,Rob Iliffe,Priest of Nature: The Religious Worlds of Isaac Newton,1644
St. Martin's Press,11/14/17,Penny Wilson,Twilight of Empire: The Tragedy at Mayerling and the End of the Habsburgs,1645
"DK Eyewitness Travel; Reprint, Revised edition",1/16/18,DK Travel,DK Eyewitness Travel Guide Denmark,1646
Simon &amp; Schuster,9/18/18,Doris Kearns Goodwin,Leadership in Turbulent Times,1647
Picador; 1st Edition edition,07/17/02,Giles Milton,Churchill's Ministry of Ungentlemanly Warfare: The Mavericks Who Plotted Hitler's Defeat,1648
PublicAffairs; Reprint edition,10/15/11,Peter Pomerantsev,Nothing Is True and Everything Is Possible: The Surreal Heart of the New Russia,1649
Quill; Reprint edition,9/30/92,Neil Howe,"Generations: The History of America's Future, 1584 to 2069",1650
Da Capo Press,10/25/16,John Oller,The Swamp Fox: How Francis Marion Saved the American Revolution,1651
Henry Holt and Co.; Slp edition,,Rick Atkinson,The Liberation Trilogy Boxed Set,1652
Simon &amp; Schuster,09/17/05,Sally Mott Freeman,The Jersey Brothers: A Missing Naval Officer in the Pacific and His Family's Quest to Bring Him Home,1653
Times Books; 1st edition,3/20/18,Jeffrey Rosen,"William Howard Taft: The American Presidents Series: The 27th President, 1909-1913",1654
Broadway Books,9/25/07,Bill Bryson,The Life and Times of the Thunderbolt Kid: A Memoir,1655
Simon &amp; Schuster; Reprint edition,11/1/92,David McCullough,Brave Companions: Portraits In History,1656
Anchor; Reprint edition,12/13/03,Mark Titus,"Don't Put Me In, Coach: My Incredible NCAA Journey from the End of the Bench to the End of the Bench",1657
Back Bay Books; Reprint edition,1/17/17,Nathalia Holt,"Rise of the Rocket Girls: The Women Who Propelled Us, from Missiles to the Moon to Mars",1658
W. W. Norton &amp; Company; 1 edition,,Russell Shorto,Revolution Song: A Story of American Freedom,1659
Penguin Classics; Second Edition Thus edition,9/30/08,Peter Matthiessen,The Snow Leopard (Penguin Classics),1660
Harper Perennial; Anniversary edition,4/26/11,Eleanor Roosevelt,You Learn by Living: Eleven Keys for a More Fulfilling Life,1661
Penguin Classics; Deluxe edition,5/31/16,Michael Hofmann,Storm of Steel: (Penguin Classics Deluxe Edition),1662
Crown Forum; Reprint edition,2010/8/3,Ronald Kessler,In the President's Secret Service: Behind the Scenes with Agents in the Line of Fire and the Presidents They Protect,1663
Routledge; 1 edition,,Christopher Dowd,The Irish and the Origins of American Popular Culture (Routledge Studies in Cultural History),1664
Belknap Press: An Imprint of Harvard University Press,,Thomas Piketty,Capital in the Twenty First Century,1665
Simon &amp; Schuster; Reprint edition,04/17/04,Joshua Hammer,The Bad-Ass Librarians of Timbuktu: And Their Race to Save the World's Most Precious Manuscripts,1666
William Morrow Paperbacks; Reprint edition,11/17/04,William Carlsen,"Jungle of Stone: The Extraordinary Journey of John L. Stephens and Frederick Catherwood, and the Discovery of the Lost Civilization of the Maya",1667
Simon &amp; Schuster; Anniversary edition,6/27/17,Andrew Morton,Diana: Her True Story--in Her Own Words,1668
Johns Hopkins University Press,,Anita Guerrini,Experimenting with Humans and Animals: From Galen to Animal Rights (Johns Hopkins Introductory Studies in the History of Science),1669
Zondervan; Reprint edition,04/14/11,John Ortberg,Who Is This Man?: The Unpredictable Impact of the Inescapable Jesus,1670
Penguin Workshop; Dgs edition,12/26/14,April Jones Prince,Who Was Frederick Douglass?,1671
"Farrar, Straus and Giroux; First American Edition edition",03/17/10,Yanis Varoufakis,Adults in the Room: My Battle with the European and American Deep Establishment,1672
Westminster John Knox Press,07/18/04,Austen Hartke,Transforming: The Bible and the Lives of Transgender Christians,1673
Kregel Academic &amp; Professional; Later Printing edition,5/31/07,Eusebius,Eusebius: The Church History,1674
Broadway Books; 41652nd edition,2003/8/5,Les Standiford,Last Train to Paradise: Henry Flagler and the Spectacular Rise and Fall of the Railroad that Crossed an Ocean,1675
Mariner Books; 1 edition,,Merlin Stone,When God Was a Woman,1676
City Lights Publishers; Reissue edition,2009/9/1,Toni Morrison,To Die for the People,1677
Savas Beatie; Reprint edition,2011/2/7,Edward L. Posey,"The US Army's First, Last, and Only All-Black Rangers: The 2d Ranger Infantry Company (Airborne) in the Korean War, 1950-1951",1678
Hachette Books,07/17/11,Nitsana Darshan-Leitner,Harpoon: Inside the Covert War Against Terrorism's Money Masters,1679
Capstone Press,01/13/08,Matt Doeden,The Oregon Trail: An Interactive History Adventure (You Choose: History),1680
Harper Perennial; 1 edition,,Paul Johnson,A History of the American People,1681
Mariner Books; 1 edition,2008/5/12,Colin Woodard,The Republic of Pirates: Being the True and Surprising Story of the Caribbean Pirates and the Man Who Brought Them Down,1682
Oxford University Press; 2 edition,,Trevor R. Getz,Abina and the Important Men: A Graphic History (Graphic History Series),1683
HarperOne; 5790th edition,11/13/07,Eric Metaxas,Amazing Grace: William Wilberforce and the Heroic Campaign to End Slavery,1684
Elizée Publishing; 1st edition,,Françoise Elizée,Haiti Rediscovered - The Quintessential Potomitan,1685
Pocket Books; 2nd edition edition,1/1/91,Will Durant,The Story of Philosophy: The Lives and Opinions of the World's Greatest Philosophers,1686
Princeton University Press; Reprint edition,,Carl von Clausewitz,"On War, Indexed Edition",1687
Picador; Reprint edition,02/16/02,Michael Booth,The Almost Nearly Perfect People: Behind the Myth of the Scandinavian Utopia,1688
"Farrar, Straus and Giroux; Reprint edition",05/15/05,Evan Osnos,"Age of Ambition: Chasing Fortune, Truth, and Faith in the New China",1689
Vintage; 1st Vintage Books Ed edition,11/12/86,Shelby Foote,Civil War Volumes 1-3 Box Set,1690
Yale University Press,8/22/17,Paula Fredriksen,Paul: The Pagans' Apostle,1691
Llewellyn Publications; 1st edition,1/8/89,Lisa Peschel,A Practical Guide to the Runes: Their Uses in Divination and Magic (Llewellyn's New Age),1692
Broadway Books; Reprint edition,12/15/05,Ben Macintyre,A Spy Among Friends: Kim Philby and the Great Betrayal,1693
Arsenal Pulp Press,04/16/10,Sarah Schulman,"Conflict Is Not Abuse: Overstating Harm, Community Responsibility, and the Duty of Repair",1694
Harper &amp; Row; 1st edition,6/1/74,Thomas P. Whitney,"The Gulag Archipelago, 1918-1956: An Experiment in Literary Investigation (English and Russian Edition)",1695
Picador; Volume Three of The Liberation Trilogy edition,5/13/14,Rick Atkinson,"The Guns at Last Light: The War in Western Europe, 1944-1945 (The Liberation Trilogy)",1696
W. W. Norton &amp; Company; 4 edition,,John Charles Chasteen,Born in Blood and Fire: A Concise History of Latin America (Fourth Edition),1697
Modern Library; Reprint edition,,Kevin Starr,California: A History (Modern Library Chronicles),1698
Inner Traditions; First U.S. Edition edition,2002/2/1,Jean-Yves Leloup,The Gospel of Mary Magdalene,1699
Random House Trade Paperbacks; Reprint edition,10/13/09,Robert D. Kaplan,The Revenge of Geography: What the Map Tells Us About Coming Conflicts and the Battle Against Fate,1700
Simon &amp; Schuster; 1st edition,10/1/95,Doris Kearns Goodwin,No Ordinary Time: Franklin and Eleanor Roosevelt: The Home Front in World War II,1701
Penguin Books; Updated edition,2010/9/7,Andrew Ross Sorkin,Too Big to Fail: The Inside Story of How Wall Street and Washington Fought to Save the Financial System--and Themselves,1702
Vintage; 1st Vintage Books ed edition,9/19/89,Neil Sheehan,A Bright Shining Lie: John Paul Vann and America in Vietnam,1703
St. Martin's Griffin; Reprint edition,3/15/16,Michael Pillsbury,The Hundred-Year Marathon: China's Secret Strategy to Replace America as the Global Superpower,1704
Mariner Books; Reprint edition,2010/9/7,Timothy Egan,The Big Burn: Teddy Roosevelt and the Fire that Saved America,1705
Ballantine Books; Reprint edition,3/21/17,Adam Makos,"Devotion: An Epic Story of Heroism, Friendship, and Sacrifice",1706
Princeton Architectural Press; First Edition edition,4/28/15,Rick Beyer,"The Ghost Army of World War II: How One Top-Secret Unit Deceived the Enemy with Inflatable Tanks, Sound Effects, and Other Audacious Fakery",1707
Penguin Books; Reprint edition,12/29/09,Liaquat Ahamed,Lords of Finance: The Bankers Who Broke the World,1708
Andrews McMeel Publishing; Third printing edition,9/2/86,Gary Larson,The Far Side Gallery 2,1709
"Little, Brown and Company; 1 edition",10/24/17,Michael Giorgione,Inside Camp David: The Private World of the Presidential Retreat,1710
Althea Press,2/28/17,Kacie Berghoef,The Modern Enneagram: Discover Who You Are and Who You Can Be,1711
Penguin Books; Reprint edition,03/17/10,Colin Dickey,Ghostland: An American History in Haunted Places,1712
Ballantine Books; Reissue edition,5/12/87,George Wilson,"If You Survive: From Normandy to the Battle of the Bulge to the End of World War II, One American Officer's Riveting True Story",1713
Penguin Classics,3/25/03,Bruce Chatwin,In Patagonia (Penguin Classics),1714
Fons &amp; Porter; Pap/Cdr edition,12/15/06,Laurie Aaron Hird,The Farmer's Wife 1930s Sampler Quilt: Inspiring Letters from Farm Women of the Great Depression and 99 Quilt Blocks That Honor Them,1715
Picador; Reprint edition,04/17/04,Natalie Y. Moore,The South Side: A Portrait of Chicago and American Segregation,1716
Voyageur Press,01/16/10,Fred Minnick,"Bourbon: The Rise, Fall, and Rebirth of an American Whiskey",1717
"Little, Brown and Company",07/17/11,Malcolm Harris,Kids These Days: Human Capital and the Making of Millennials,1718
Thames &amp; Hudson,4/17/97,Mary Ellen Miller,An Illustrated Dictionary of the Gods and Symbols of Ancient Mexico and the Maya,1719
Hazelden Publishing; Commemorative edition,2010/9/3,Anonymous,The Book That Started It All: The Original Working Manuscript of Alcoholics Anonymous,1720
Penguin Classics; 1 edition,,Ernst Jünger,Storm of Steel (Penguin Classics Deluxe Edition),1721
Bantam; Reprint edition,5/19/15,Rusty Bradley,Lions of Kandahar: The Story of a Fight Against All Odds,1722
Penguin Books; Reprint edition,12/26/06,John Lewis Gaddis,The Cold War: A New History,1723
Phoenix; First Paperback Edition edition,2011/3/1,Neil Oliver,A History of Scotland: Look Behind the Mist and Myth of Scottish History,1724
Anchor; Reprint edition,03/14/06,Bill Bryson,"One Summer: America, 1927",1725
Baker Academic; 3 edition,,Mark A. Noll,Turning Points: Decisive Moments in the History of Christianity,1726
Basic Books; 1 edition,2010/10/12,Timothy Snyder,Bloodlands: Europe Between Hitler and Stalin,1727
Abingdon Press,02/17/05,Adam Hamilton,Moses: In the Footsteps of the Reluctant Prophet (Moses Series),1728
Liveright; 1 edition,,Michael Korda,"Alone: Britain, Churchill, and Dunkirk: Defeat Into Victory",1729
Center Street,02/18/01,Gary J. Byrne,Secrets of the Secret Service: The History and Uncertain Future of the U.S. Secret Service,1730
Harper Paperbacks; Reprint edition,08/16/03,Kate Andersen Brower,The Residence: Inside the Private World of the White House,1731
Broadway Books; 33338th edition,2011/2/1,Jim Frederick,Black Hearts: One Platoon's Descent into Madness in Iraq's Triangle of Death,1732
Simon &amp; Schuster; Reissue edition,10/15/02,John Lewis,Walking with the Wind: A Memoir of the Movement,1733
Dutton,08/17/08,Tom Sancton,The Bettencourt Affair: The World's Richest Woman and the Scandal That Rocked Paris,1734
Mariner Books; Reprint edition,4/18/17,Andrés Reséndez,The Other Slavery: The Uncovered Story of Indian Enslavement in America,1735
Holt Paperbacks; Reprint edition,11/15/93,John Mack Faragher,Daniel Boone: The Life and Legend of an American Pioneer (An Owl Book),1736
NYU Press; 1/31/08 edition,,Don Jordan,White Cargo: The Forgotten History of Britain's White Slaves in America,1737
Knopf; First Edition edition,10/17/10,Kenneth Whyte,Hoover: An Extraordinary Life in Extraordinary Times,1738
IVP Academic,8/23/10,Thomas C. Oden,How Africa Shaped the Christian Mind: Rediscovering the African Seedbed of Western Christianity,1739
Random House Trade Paperbacks; Reprint edition,2/1/00,Robert K. Massie,Nicholas and Alexandra: The Classic Account of the Fall of the Romanov Dynasty,1740
Basic Books; Revised edition,9/28/10,Mark Pendergrast,Uncommon Grounds: The History of Coffee and How It Transformed Our World,1741
Dial Press Trade Paperback; Reprint edition,3/26/02,Pat Conroy,The Water Is Wide: A Memoir,1742
Holt Paperbacks; Reprint edition,2002/5/1,Audie Murphy,To Hell and Back,1743
Princeton Review; 2 edition,,Princeton Review,"Cracking the SAT Subject Test in World History, 2nd Edition: Everything You Need to Help Score a Perfect 800 (College Test Preparation)",1744
Post Hill Press,7/19/16,Burgess Owens,"Liberalism or How to Turn Good Men into Whiners, Weenies and Wimps",1745
Ballantine Books,3/26/02,Laura Hillenbrand,Seabiscuit: An American Legend (Ballantine Reader's Circle),1746
William Morrow Paperbacks; 1 edition,9/22/15,Daniel James Brown,The Indifferent Stars Above: The Harrowing Saga of the Donner Party,1747
Black Dog &amp; Leventhal; Slp Har/Ma edition,10/20/15,Ross King,"Florence: The Paintings & Frescoes, 1250-1743",1748
University of California Press; New edition,10/25/16,Joshua Bloom,Black against Empire: The History and Politics of the Black Panther Party (The George Gund Foundation Imprint in African American Studies),1749
Oxford University Press; 1 edition,,Andrew Beattie,The Danube: A Cultural History (Landscapes of the Imagination),1750
Henry Holt,9/16/08,Rick Atkinson,"The Day of Battle: The War in Sicily and Italy, 1943-1944 (The Liberation Trilogy)",1751
"Anchor; Revised, Reprint edition",7/27/10,Jon Krakauer,Where Men Win Glory: The Odyssey of Pat Tillman,1752
Da Capo Press; First Edition edition,2/14/17,Gregg Zoroya,The Chosen Few: A Company of Paratroopers and Its Heroic Struggle to Survive in the Mountains of Afghanistan,1753
"Ocean Press; First Edition, Second Printing edition",2003/8/1,Ernesto Che Guevara,The Motorcycle Diaries: Notes on a Latin American Journey,1754
Vintage; 1st edition,2/12/66,Richard Hofstadter,Anti-Intellectualism in American Life,1755
Random House Trade Paperbacks; Reissue edition,9/29/15,Jeffrey Toobin,The Run of His Life: The People v. O. J. Simpson,1756
Random House Trade Paperbacks; Later Printing edition,,Victoria Finlay,Color: A Natural History of the Palette,1757
Random House Trade Paperbacks; Reprint edition,4/30/09,Jon Meacham,AMERICAN LION: Andrew Jackson in the White House,1758
Dutton,05/17/09,Josh Dean,The Taking of K-129: How the CIA Used Howard Hughes to Steal a Russian Sub in the Most Daring Covert Operation in History,1759
Modern Library; unknown edition,,Marcus Aurelius,Meditations: A New Translation (Modern Library),1760
Ecco; Reprint edition,10/24/17,Simon Schama,The Story of the Jews Volume One: Finding the Words 1000 BC-1492 AD,1761
Penguin Books; Reprint edition,06/17/06,Eric Metaxas,If You Can Keep It: The Forgotten Promise of American Liberty,1762
W. W. Norton &amp; Company; 5 edition,,Eric Foner,Voices of Freedom: A Documentary History (Fifth Edition)  (Vol. 1),1763
W. W. Norton &amp; Company; Reprint edition,3/17/08,Ian W. Toll,Six Frigates: The Epic History of the Founding of the U.S. Navy,1764
HarperCollins; Reissue edition,9/29/09,Elisabeth Elliot,Shadow of the Almighty: The Life and Testament of Jim Elliot (Lives of Faith),1765
Rodale Books; Rough cut edition,2006/10/3,David S. Kidder,"The Intellectual Devotional: Revive Your Mind, Complete Your Education, and Roam Confidently with the Cultured Class",1766
McGraw-Hill Education; 8 edition,,Alan Brinkley,The Unfinished Nation: A Concise History of the American People,1767
Da Capo Press,12/17/09,Scott S. Greenberger,The Unexpected President: The Life and Times of Chester A. Arthur,1768
Naval Institute Press; Reprint edition,11/15/13,Sandra Grimes,Circle of Treason: A CIA Account of Traitor Aldrich Ames and the Men He Betrayed,1769
University of Chicago Press; 1 edition,2002/4/1,Alexis de Tocqueville,Democracy in America,1770
Simon &amp; Schuster; First Edition edition,1/23/18,Omer Bartov,Anatomy of a Genocide: The Life and Death of a Town Called Buczacz,1771
Simon &amp; Schuster,10/18/11,Philip Freeman,Alexander the Great,1772
Vintage; Reprint edition,5/16/17,Simon Sebag Montefiore,The Romanovs: 1613-1918,1773
Library of America,1/30/18,Brooks D. Simpson,Reconstruction: Voices from America's First Great Struggle for Racial Equality (The Library of America),1774
Free Press; 1st edition,10/7/98,Mark Mathabane,Kaffir Boy: An Autobiography--The True Story of a Black Youth's Coming of Age in Apartheid South Africa,1775
Delta; Sixteenth Printing edition,1/12/99,Eldridge Cleaver,Soul on Ice,1776
St. Martin's Press; 1st Edition edition,2/27/18,Catherine Hewitt,Renoir's Dancer: The Secret Life of Suzanne Valadon,1777
Penguin Books; 2 edition,,Stanley Karnow,Vietnam: A History,1778
Penguin Books,4/24/07,Nathaniel Philbrick,"Mayflower: A Story of Courage, Community, and War",1779
Broadway Books; Reprint edition,09/17/05,James Campbell,"Braving It: A Father, a Daughter, and an Unforgettable Journey into the Alaskan Wild",1780
Bantam; 2.5.2012 edition,2012/3/6,James D. Hornfischer,Neptune's Inferno: The U.S. Navy at Guadalcanal,1781
"Supreme Design, LLC; 3rd edition",,Supreme Understanding,The Science of Self,1782
Quirk Books,04/16/10,Sam Maggs,"Wonder Women: 25 Innovators, Inventors, and Trailblazers Who Changed History",1783
Skyhorse Publishing; 3rd ed. edition,,Peter Janney,"Mary's Mosaic: The CIA Conspiracy to Murder John F. Kennedy, Mary Pinchot Meyer, and Their Vision for World Peace: Third Edition",1784
Wizards of the Coast; 5th edition,09/14/12,Wizards RPG Team,Dungeon Master's Guide (D&D Core Rulebook),1785
Workman Publishing Company; 5 edition,5/31/16,Heidi Murkoff,What to Expect When You're Expecting,1786
New Harbinger Publications/ Noetic Books; 1 edition,,Michael A. Singer,The Untethered Soul: The Journey Beyond Yourself,1787
"Hay House, Inc.; 1 edition",07/17/11,Anthony William,"Medical Medium Thyroid Healing: The Truth behind Hashimoto's, Graves', Insomnia, Hypothyroidism, Thyroid Nodules & Epstein-Barr",1788
"TalentSmart; Enhanced, New edition",6/16/09,Travis Bradberry,Emotional Intelligence 2.0,1789
Amber-Allen Publishing,11/7/97,Don Miguel Ruiz,The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),1790
Houghton Mifflin Harcourt,05/17/12,Melissa Hartwig,The Whole30 Fast & Easy Cookbook: 150 Simply Delicious Everyday Recipes for Your Whole30,1791
Victory Belt Publishing; 1 edition,12/17/12,Suzanne Ryan,"Simply Keto: A Practical Approach to Health & Weight Loss, with 100+ Easy Low-Carb Recipes",1792
Harmony; 1 edition,3/13/18,Eric Zielinski D.C.,"The Healing Power of Essential Oils: Soothe Inflammation, Boost Mood, Prevent Autoimmunity, and Feel Great in Every Way",1793
Wizards of the Coast; 9 edition,9/30/14,Wizards RPG Team,Monster Manual (D&D Core Rulebook),1794
Rockridge Press,12/20/16,Amy Ramos,The Complete Ketogenic Diet for Beginners: Your Essential Guide to Living the Keto Lifestyle,1795
Victory Belt Publishing,11/17/04,Leanne Vogel,"The Keto Diet: The Complete Guide to a High-Fat Diet, with More Than 125 Delectable Recipes and 5 Meal Plans to Shed Weight, Heal Your Body, and Regain Confidence",1796
Random House,06/18/02,Kate Bowler,Everything Happens for a Reason: And Other Lies I've Loved,1797
Atria Books,7/15/14,JJ Smith,10-Day Green Smoothie Cleanse,1798
Flatiron Books; 1 edition,08/15/12,Gene Stone,How Not to Die: Discover the Foods Scientifically Proven to Prevent and Reverse Disease,1799
Hazelden Publishing; 1 edition,8/27/10,Brené Brown,The Gifts of Imperfection: Let Go of Who You Think You're Supposed to Be and Embrace Who You Are,1800
"Ballantine Books; Reprint, Updated edition",12/26/07,Carol S. Dweck,Mindset: The New Psychology of Success,1801
Worthy Publishing,05/17/09,Don Colbert,"Dr. Colbert's Keto Zone Diet: Burn Fat, Balance Appetite Hormones, and Lose Weight",1802
Random House; F First Edition edition,12/17/09,Brené Brown,Braving the Wilderness: The Quest for True Belonging and the Courage to Stand Alone,1803
HarperOne,01/17/08,Gary John Bishop,Unfu*k Yourself: Get Out of Your Head and into Your Life,1804
Grand Central Publishing,04/17/04,William H. McRaven,Make Your Bed: Little Things That Can Change Your Life...And Maybe the World,1805
American Psychological Association (APA); 6th edition,,American Psychological Association,"Publication Manual of the American Psychological Association, 6th Edition",1806
Penguin Books; 1st edition,9/1/00,Robert Greene,The 48 Laws of Power,1807
Simon &amp; Schuster,9/19/17,Tom Brady,The TB12 Method: How to Achieve a Lifetime of Sustained Peak Performance,1808
Namaste Publishing,8/19/04,Eckhart Tolle,The Power of Now: A Guide to Spiritual Enlightenment,1809
Harper Wave; 1 edition,3/20/18,Max Lugavere,"Genius Foods: Become Smarter, Happier, and More Productive While Protecting Your Brain for Life",1810
Beacon Press; 1 edition,2006/6/1,Viktor E. Frankl,Man's Search for Meaning,1811
Touchstone; 1st edition,6/15/86,Siegfried Engelmann,Teach Your Child to Read in 100 Easy Lessons,1812
Greystone Books; 1 edition,01/16/03,Dr. Jason Fung,The Obesity Code: Unlocking the Secrets of Weight Loss,1813
"Zondervan; Updated, Expanded edition",03/17/10,Henry Cloud,"Boundaries Updated and Expanded Edition: When to Say Yes, How to Say No To Take Control of Your Life",1814
Avery; Reprint edition,07/15/04,Brené Brown,"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",1815
Flatiron Books; 1 edition,05/17/12,Gene Stone,The How Not to Die Cookbook: 100+ Recipes to Help Prevent and Reverse Disease,1816
Wizards of the Coast; Wizards RPG Team edition,11/15/16,Wizards RPG Team,Volo's Guide to Monsters,1817
"Hay House, Inc.",08/16/11,Anthony William,Medical Medium Life-Changing Foods: Save Yourself and the Ones You Love with the Hidden Healing Powers of Fruits & Vegetables,1818
Harmony; 1 edition,03/17/10,Mark Sisson,The Keto Reset Diet: Reboot Your Metabolism in 21 Days and Burn Fat Forever,1819
Bantam; 1 edition,2012/9/11,Daniel J. Siegel,The Whole-Brain Child: 12 Revolutionary Strategies to Nurture Your Child's Developing Mind,1820
Harmony; Reprint edition,2009/3/3,Steven R. Gundry,Dr. Gundry's Diet Evolution: Turn Off the Genes That Are Killing You and Your Waistline,1821
Random House Trade Paperbacks,07/14/01,Charles Duhigg,The Power of Habit: Why We Do What We Do in Life and Business,1822
Scribner; 1 edition,03/16/05,Angela Duckworth,Grit: The Power of Passion and Perseverance,1823
Riverhead Books,09/18/01,Daniel H. Pink,When: The Scientific Secrets of Perfect Timing,1824
Houghton Mifflin Harcourt; 1 edition,05/17/12,Melissa Hartwig,The Whole30 Day by Day: Your Daily Guide to Whole30 Success,1825
Victory Belt Publishing; 1 edition,10/18/16,Jimmy Moore,"The Complete Guide to Fasting: Heal Your Body Through Intermittent, Alternate-Day, and Extended Fasting",1826
"Farrar, Straus and Giroux; 1st edition",02/13/04,Daniel Kahneman,"Thinking, Fast and Slow",1827
"Hay House, Inc.; Later Printing Used edition",10/15/11,Anthony William,Medical Medium: Secrets Behind Chronic and Mystery Illness and How to Finally Heal,1828
Bloomsbury USA,1/23/18,Johann Hari,Lost Connections: Uncovering the Real Causes of Depression _?and the Unexpected Solutions,1829
Avery; 1 edition,8/22/17,Dale Bredesen,The End of Alzheimer's: The First Program to Prevent and Reverse Cognitive Decline,1830
Victory Belt Publishing,1/23/18,Kyndra Holley,"Craveable Keto: Your Low-Carb, High-Fat Roadmap to Weight Loss and Wellness",1831
Atria Books/Beyond Words; 10th Anniversary edition,11/28/06,Rhonda Byrne,The Secret,1832
IVP Books,04/16/10,Ian Morgan Cron,The Road Back to You: An Enneagram Journey to Self-Discovery,1833
Rockridge Press,1/30/18,Liz Williams,"The One Pot Ketogenic Diet Cookbook: 100+ Easy Weeknight Meals for Your Skillet, Slow Cooker, Sheet Pan, and More",1834
Bantam,1/30/18,Daniel Coyle,The Culture Code: The Secrets of Highly Successful Groups,1835
Workman Publishing Company; 3 edition,07/14/10,Heidi Murkoff,What to Expect the First Year,1836
Avery,9/20/16,Dalai Lama,The Book of Joy: Lasting Happiness in a Changing World,1837
Clarkson Potter; 1 edition,9/30/14,Gina Homolka,"The Skinnytaste Cookbook: Light on Calories, Big on Flavor",1838
Rockridge Press,09/18/01,Jen Fisch,"The Easy 5-Ingredient Ketogenic Diet Cookbook: Low-Carb, High-Fat Recipes for Busy People on the Keto Diet",1839
HarperOne; 1 edition,1/30/18,Ben Lynch ND.,Dirty Genes: A Breakthrough Program to Treat the Root Cause of Illness and Optimize Your Health,1840
