Publisher,Time,Author,Title,ID
Scholastic Paperbacks,2001/9/11,J.K. Rowling,Harry Potter and the Prisoner of Azkaban,96
Simon &amp; Schuster,06/18/02,Lisa Halliday,Asymmetry: A Novel,97
Scholastic Paperbacks,7/30/02,J.K. Rowling,Harry Potter And The Goblet Of Fire,98
Anchor,04/14/03,Chimamanda Ngozi Adichie,Americanah,99
G.P. Putnam's Sons,4/24/18,John Sandford,Twisted Prey (A Prey Novel),100
Anchor; Reprint edition,5/20/14,Kevin Kwan,Crazy Rich Asians,101
Dutton,06/18/02,Lisa Gardner,Look for Me (D. D. Warren),102
G.P. Putnam's Sons,06/18/11,Clive Cussler,Celtic Empire (Dirk Pitt Adventure),103
Vintage,2/1/94,Truman Capote,In Cold Blood,104
W. W. Norton &amp; Company; Reprint edition,06/18/03,Neil Gaiman,Norse Mythology,105
G.P. Putnam's Sons,3/13/18,Randy Wayne White,Caribbean Rim (A Doc Ford Novel),106
Ballantine Books,2/13/18,Jonathan Kellerman,Night Moves: An Alex Delaware Novel,107
Lake Union Publishing,2/20/18,Rhys Bowen,The Tuscan Child,108
Dover Publications,,Marcus Aurelius,Meditations (Dover Thrift Editions),109
Zondervan,06/18/03,Terri Blackstock,If I Live (If I Run Series),110
Holt Paperbacks,3/13/18,Mallory Ortberg,The Merry Spinster: Tales of Everyday Horror,111
Penguin Press; 1st Edition edition,10/17/10,Mary Oliver,Devotions: The Selected Poems of Mary Oliver,112
Harper Perennial Modern Classics; 1 edition,5/30/06,Zora Neale Hurston,Their Eyes Were Watching God,113
Harper,3/27/18,Jacqueline Winspear,To Die but Once: A Maisie Dobbs Novel,114
Harper,7/17/18,Daniel Silva,The Other Woman: A Novel (Gabriel Allon),115
Penguin Books,9/1/94,Chinua Achebe,Things Fall Apart,116
Penguin Books; Reprint edition,6/26/12,Amor Towles,Rules of Civility: A Novel,117
IT Revolution Press; 3 edition,2/27/18,Gene Kim,"The Phoenix Project: A Novel about IT, DevOps, and Helping Your Business Win",118
Berkley; Premium edition,6/27/17,Liane Moriarty,The Husband's Secret,119
St. Martin's Press,5/29/18,Nora Roberts,Shelter in Place,120
Del Rey,1/16/18,Pierce Brown,Iron Gold: Book 4 of the Red Rising Saga (Red Rising Series),121
Scholastic Paperbacks,2004/8/10,J.K. Rowling,Harry Potter And The Order Of The Phoenix,122
Yearling,5/9/00,Louis Sachar,Holes,123
Ballantine Books,02/18/10,Jodi Picoult,A Spark of Light: A Novel,124
Atria/Emily Bestler Books,06/18/03,Jack Carr,The Terminal List: A Thriller,125
CreateSpace Independent Publishing Platform; 8/25/13 edition,9/24/13,Nayyirah Waheed,salt.,126
Random House; Possible First edition,8/12/61,Dr. Seuss,The Sneetches and Other Stories,127
Harper Perennial Modern Classics; Reprint edition,2/21/06,Gabriel Garcia Marquez,One Hundred Years of Solitude (Harper Perennial Modern Classics),128
"Little, Brown Books for Young Readers; Reprint edition",2009/4/1,Sherman Alexie,The Absolutely True Diary of a Part-Time Indian,129
Kensington,2/27/18,Joanne Fluke,Raspberry Danish Murder (A Hannah Swensen Mystery),130
William Morrow Paperbacks; Reprint edition,6/20/17,Paulette Jiles,News of the World,131
Dial Press,2009/5/5,Annie Barrows,The Guernsey Literary and Potato Peel Pie Society,132
Houghton Mifflin Harcourt,9/18/12,J. R. R. Tolkien,The Hobbit,133
Broadway Books; Reprint edition,12/16/04,Ernest Cline,Armada: A novel by the author of Ready Player One,134
Vintage; Reprint edition,2004/6/8,Toni Morrison,Beloved,135
Orbit; Translation edition,03/17/10,Andrzej Sapkowski,"The Witcher Boxed Set: Blood of Elves, The Time of Contempt, Baptism of Fire",136
St. Martin's Griffin; Reissue edition,2011/1/4,Kristin Hannah,Winter Garden,137
Scholastic Paperbacks; Reprint edition,7/25/06,J.K. Rowling,Harry Potter and the Half-Blood Prince (Book 6),138
Riverhead Books; 1 edition,05/13/03,Khaled Hosseini,The Kite Runner,139
Andrews McMeel Publishing,2/14/17,Amanda Lovelace,the princess saves herself in this one,140
Simon &amp; Schuster,01/18/05,Richard Paul Evans,The Forgotten Road (The Broken Road Series),141
Tor Books,12/16/01,Cixin Liu,The Three-Body Problem,142
Gallery Books,10/18/04,Catherine Coulter,The Sixth Day (A Brit in the FBI),143
St. Martin's Press,1/30/18,J. D. Robb,"Dark in Death: An Eve Dallas Novel (In Death, Book 46)",144
"Broadway Books; Anniversary, Reprint edition",2002/10/8,Mitch Albom,"Tuesdays with Morrie: An Old Man, a Young Man, and Life's Greatest Lesson",145
Houghton Mifflin Harcourt; First Edition edition,02/14/09,Randall Munroe,What If?: Serious Scientific Answers to Absurd Hypothetical Questions,146
Wizards of the Coast; Har/Map edition,3/15/16,Wizards RPG Team,Curse of Strahd: A Dungeons & Dragons Sourcebook (D&D Supplement),147
Berkley Books; Reprint edition,4/24/12,Liane Moriarty,What Alice Forgot,148
Multnomah; Paperback with Study Guide edition,2005/5/9,Francine Rivers,Redeeming Love,149
St. Martin's Press,2/27/18,John Hart,The Hush: A Novel,150
William Morrow Paperbacks; Reprint edition,1/30/18,Christina Baker Kline,A Piece of the World: A Novel,151
Berkley,2/20/18,Mark Greaney,Agent in Place (Gray Man),152
SparkNotes; Study Guide ed. edition,,William Shakespeare,Romeo and Juliet (No Fear Shakespeare),153
Riverhead Books; Reprint edition,2008/9/2,Junot Díaz,The Brief Wondrous Life of Oscar Wao,154
Pantheon; 2nd edition,3/7/00,Mark Z. Danielewski,House of Leaves,155
Viking; 1st Edition edition,06/18/02,Matt Haig,How to Stop Time,156
Flatiron Books,06/18/03,Shobha Rao,Girls Burn Brighter: A Novel,157
William Morrow; Reissue edition,3/29/11,Agatha Christie,And Then There Were None,158
Ballantine Books; Reissue edition,4/21/09,Maya Angelou,I Know Why the Caged Bird Sings,159
Graywolf Press; 1st Edition edition,03/17/10,Carmen Maria Machado,Her Body and Other Parties: Stories,160
Andrews McMeel Publishing,9/27/16,Samantha King,"Born to Love, Cursed to Feel",161
Puffin Books; Reprint edition,2006/3/2,Julia Donaldson,The Gruffalo,162
Flatiron Books; Reprint edition,02/18/01,Jane Harper,The Dry: A Novel,163
A Thomas Dunne Book for St. Martin's Griffin; Reprint edition,03/17/10,Bryn Greenwood,All the Ugly and Wonderful Things: A Novel,164
Simon &amp; Schuster,03/18/04,Mary Higgins Clark,I've Got My Eyes on You,165
Atria Books; Reprint edition,04/14/03,William Kent Krueger,Ordinary Grace,166
Del Rey,4/17/18,Daniel José Older,Last Shot (Star Wars): A Han and Lando Novel,167
Doubleday; Reissue edition,1/6/58,Margery Williams,The Velveteen Rabbit,168
Michael Wiese Productions,5/25/05,Blake Snyder,Save The Cat! The Last Book on Screenwriting You'll Ever Need,169
Metropolitan Books; 1st Edition edition,11/21/17,Caroline Fraser,Prairie Fires: The American Dreams of Laura Ingalls Wilder,170
William Morrow,06/18/03,Linda Howard,The Woman Left Behind: A Novel,171
Waterhouse Press,2/13/18,Helen Hardt,Unraveled (Steel Brothers Saga Book 9),172
William Morrow Paperbacks; Reprint edition,02/18/01,Jessica Shattuck,The Women in the Castle: A Novel,173
Andrews McMeel Publishing,06/18/02,r.h. Sin,Planting Gardens in Graves,174
Bloomsbury USA; Reprint edition,4/24/12,Jesmyn Ward,Salvage the Bones: A Novel,175
Custom House; 1st Edition edition,2/27/18,David Mamet,Chicago: A Novel,176
Vintage,3/14/06,Kazuo Ishiguro,Never Let Me Go,177
Vintage,,Albert Camus,The Stranger,178
Delacorte Press; First Edition edition,1/23/18,Danielle Steel,Fall from Grace: A Novel,179
Jeanius Publishing LLC,11/17/02,Pierre Alex Jeanty,Her,180
The Dial Press,2/13/18,Sophie Kinsella,Surprise Me: A Novel,181
Minotaur Books,3/20/18,Steve Berry,The Bishop's Pawn: A Novel (Cotton Malone),182
Grove Press; Reprint edition,12/16/04,Viet Thanh Nguyen,The Sympathizer: A Novel (Pulitzer Prize for Fiction),183
MTV Books; Reprint edition,2009/2/3,Tupac Shakur,The Rose That Grew From Concrete,184
Image Comics; 7th edition,5/19/09,Robert Kirkman,The Walking Dead:  Compendium One,185
Ace,9/1/90,Frank Herbert,Dune,186
