,X,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,cluster_kmeans,cluster_pam
4590,4590,-0.138146222,-0.071272126,-0.128429119,-0.135989567,-0.042193126,-0.183316524,-0.163263186,0.024673112,-0.142415393,-0.235138382,-0.589294682,0.250615056,0.202962914,-0.058502927,0.389877038,0.060432568,0.036751769,0.902710062,-0.424504136,-0.456698939,-0.671633172,-0.874192931,-0.413731302,0.528547189,-0.202819469,-0.239587864,-0.37052684,-0.603720786,0.13594498,-0.057528257,0.153610412,0.64063101,0.8503492,0.020027728,0.073573801,-0.298338435,-0.069746506,-0.118268297,0.040205675,0.056789026,-0.376457586,-0.826053485,-0.424165277,0.079600495,-0.069345427,0.227513056,-0.158463514,0.041875238,-0.513824771,0.086146016,2,4
4591,4591,-0.263438111,0.043100883,-0.049335792,-0.237751868,-0.082124681,0.461957065,-0.008487943,0.416448816,-0.240591808,0.135788774,-0.393071704,-0.423585068,0.235343726,0.145297495,0.041784146,-0.25200602,0.482678711,0.212247608,-0.25845754,-0.117627404,-0.161724732,-0.738307921,0.006625359,0.351350729,-0.305010829,-0.50865677,-0.334802521,0.0431895,0.184678771,-0.099785758,0.027212863,0.070048389,0.61033559,0.160869812,0.024132057,0.245110369,0.054556994,0.521214946,0.129304741,0.103949785,-0.679181451,-0.461791506,-0.113536644,-0.330255809,0.291313139,0.463314285,-0.125899396,0.3312844,-0.147551917,-0.334704365,2,4
4592,4592,-0.444757126,0.075251668,0.053696354,-0.093035434,-0.006318697,-0.295715064,-0.118447547,0.211280807,0.246269181,-0.08391409,0.135547489,0.196206985,0.118871876,-0.085986384,0.086005868,0.065223932,0.001900734,0.158010571,-0.078029463,-0.101816326,0.155669763,0.093455124,0.089468181,0.081117108,-0.00069282,-0.058501704,0.020729778,0.181973441,-0.009391281,0.114671828,-0.248445557,0.136585211,-0.134566466,0.007461756,-0.108015623,-0.180376617,-0.081451007,0.017122316,-0.012953091,0.15873122,0.078072105,0.033426997,-0.002306451,0.030986327,0.015354939,0.014836049,-0.092000632,0.150193628,-0.217338711,-0.138839634,2,4
4593,4593,0.235056687,-0.303793856,-0.299690823,-0.193094107,-0.096374104,0.288003889,-0.581597378,0.237985693,0.615199968,0.549315747,-0.194948508,0.132533646,-0.253689535,-0.639631281,-0.151293978,0.424020206,0.014865465,0.376209307,-0.170766265,0.243712828,-0.177575976,0.195497298,-0.201648761,0.302383409,-0.53924443,0.255437983,-0.273413077,0.402929805,0.126706315,-0.427874823,-0.470061753,0.120865018,-0.057841035,0.126693231,-0.282744467,-0.509586445,-0.156953424,0.648753429,-0.134735378,0.182504227,0.338354903,-0.579423601,0.069639521,-0.315671457,0.283265287,0.653300653,-0.393966883,0.291071234,-0.051728216,0.024146981,2,4
4594,4594,0.40869208,-0.027903859,0.006377226,-0.069516549,0.007538731,0.194163788,-0.352377978,0.232740329,0.282032733,-0.304735561,0.052639155,0.125935889,-0.100435113,-0.31594592,-0.3725079,0.529771984,-0.147229219,0.031371807,-0.081355855,0.064312991,0.119232376,0.001195038,0.666292508,0.276773439,0.014222565,0.425529112,0.278812355,0.060665545,0.051599823,0.170438823,0.519546283,0.014121206,0.049186226,-0.262474857,0.072038582,-0.357754909,-0.007576327,0.16092131,-0.234432871,0.116322548,-0.177059544,-0.130225907,-0.387185621,-0.160844867,-0.143252398,0.018766734,0.153127039,-0.113771821,0.303408417,0.018263675,2,4
4595,4595,-0.255958614,-0.197266036,0.045802685,-0.004411574,-0.002584689,-0.018023722,0.140850792,0.730386349,-0.336868371,-0.070264469,-0.431264933,-0.231006886,0.068670442,0.076636427,0.059322616,-0.314620922,0.54144835,0.375374015,-0.316793591,0.083444428,0.017463581,-0.373613961,-0.241631391,0.237012246,-0.216063227,-0.258507268,-0.359508855,-0.501864732,0.216957672,0.092075822,-0.038362884,0.109147845,0.497311803,0.040099775,-0.320500904,0.312659968,-0.00207376,-0.161945654,0.156893229,0.032919349,-0.698258163,-0.603495315,0.018837229,0.101858798,-0.025799264,0.2290541,-0.316980043,0.552718149,0.121832199,-0.071927778,2,4
4596,4596,-0.383478586,0.221990015,0.658929851,-0.172020406,-0.624394208,1.154897213,0.011006556,0.663991235,-0.834181197,0.779813344,-0.539765623,-0.769343365,0.018394262,0.229548894,-0.000154411,-0.267392665,0.596265387,-0.185255684,-0.41254214,-0.023425348,0.116140302,-0.583372675,-0.168751668,0.712188255,0.174228527,-0.48066395,-0.497185104,0.468519641,0.418178903,0.278334908,0.103124933,0.658358485,0.500970077,0.013331705,-0.31622303,0.227224996,-0.317508727,0.478699171,1.016705379,0.138762224,-0.543270474,-1.071000263,-0.607041625,-0.200229782,-0.138855953,0.226438977,-0.738521624,0.405185824,0.511324726,-0.582820047,2,4
4597,4597,0.15720803,0.019830588,-0.287279853,-0.272361457,0.27003037,-0.333774745,0.107314396,0.347054166,-0.232298836,0.196443029,-0.350350523,0.207356073,-0.223883587,0.265014202,-0.064475406,0.04299672,0.256592998,-0.501243519,0.00073952,0.167033104,-0.04912435,-0.064406928,0.026598708,0.628257047,0.172525296,-0.010912526,-0.152180795,-0.377232198,-0.1408976,0.126575442,0.311635154,-0.387207399,-0.013164957,-0.336729829,0.053480093,0.079256786,-0.274583562,0.379219033,-0.332241668,-0.25569822,0.058760124,-0.186863529,0.088855851,-0.068638536,-0.009982931,0.069098068,-0.018649767,0.129818529,-0.086309242,-0.466029437,2,4
4598,4598,-0.439474165,0.517702803,0.250869647,-0.416987002,-0.211911328,0.138745573,0.468364213,0.256444708,0.244689107,0.032009028,-0.22318881,-0.176818851,-0.155694298,0.111508705,0.607939059,0.404512784,0.219717863,0.272950575,0.750471875,-0.875957713,0.014571276,-0.602386508,0.119465832,-0.18575874,0.174739569,-0.559325974,0.080826513,-0.37958663,-0.249528818,-0.487639349,-0.503758918,0.14018783,0.357465312,0.263794456,-0.058793468,-0.05509831,0.350814052,-0.047936363,0.160288543,0.302265371,-0.32625588,0.612044647,-0.386191892,0.077065592,0.057375584,-0.251707412,0.097698424,0.042965543,0.197430976,-0.255769655,2,4
4599,4599,-0.077330484,-0.194272185,0.155010423,-0.102579734,0.197226787,0.225111363,-0.058194681,0.145355993,-0.17321844,0.2301425,-0.021715683,-0.127635164,-0.087891766,-0.169232301,-0.407479124,-0.20364376,-0.082200174,0.239767294,-0.07950548,-0.103084414,-0.067788579,0.161474116,-0.096528273,0.134186458,0.105083917,0.402588709,-0.036963861,0.028956874,-0.018386244,0.050621729,0.054838963,-0.310435773,0.161318781,-0.414713917,-0.228507836,-0.309741501,0.315337689,0.025946308,0.352995478,-0.21298804,-0.119992858,-0.088137189,-0.146491015,0.171514083,0.187724505,0.031170893,-0.006752045,0.205872616,-0.10917296,-0.016350251,2,4
