Publisher,Time,Author,Title
Atria Books,02/13/18,John Lescroart,Poison: A Novel (Dismas Hardy)
Random House Books for Young Readers; Box edition,09/27/11,Dr. Seuss,Dr. Seuss's Second Beginner Book Collection
HarperOne; Revised ed. edition,04/21/15,C. S. Lewis,The Great Divorce
Penguin Books,06/01/99,Jack Kerouac,On the Road
Grand Central Publishing; Updated edition,01/01/00,Octavia E. Butler,Parable of the Sower (Earthseed)
Tor Fantasy; Reprint edition,05/24/11,Brandon Sanderson,The Way of Kings
Hachette Books; Reprint edition,03/01/06,Mitch Albom,The Five People You Meet in Heaven
MIRA; 1st edition,02/21/17,Pam Jenoff,The Orphan's Tale: A Novel
William Morrow; Reprint edition,10/31/17,Agatha Christie,Murder on the Orient Express: A Hercule Poirot Mystery (Hercule Poirot Mysteries)
Flatiron Books; Reprint edition,07/25/17,Liane Moriarty,Truly Madly Guilty
Andrews McMeel Publishing; Revised edition,05/02/17,r.h. Sin,Whiskey Words & a Shovel I
Emily Curtis,06/15/17,emily curtis,in the absence of the sun
Picador; Reprint edition,01/10/06,Marilynne Robinson,Gilead: A Novel
Back Bay Books; Reprint edition,02/20/18,Elin Hilderbrand,The Identicals
Andrews McMeel Publishing,02/13/18,Reyna Biddy,A Psalm for Us
Fantagraphics; 1 edition,02/14/17,Emil Ferris,My Favorite Thing Is Monsters
Tor Books; Reprint edition,08/16/16,Cixin Liu,The Dark Forest (Remembrance of Earth's Past)
