_id,ltable_ID,rtable_ID,ltable_Title,ltable_Author,ltable_Publisher,ltable_Time,rtable_Title,rtable_Author,rtable_Publisher,rtable_Time
14523,1742,3578,The Water Is Wide: A Memoir,Pat Conroy,Dial Press Trade Paperback; Reprint edition,3/26/2002,Beach Music,Pat Conroy,Random House Publishing Group,3/26/2002
14545,2887,3850,"Growth Hacker Marketing: A Primer on the Future of PR, Marketing, and Advertising",Ryan Holiday,Portfolio; Reprint edition,9/30/2014,"Growth Hacker Marketing: A Primer on the Future of PR, Marketing, and Advertising",Ryan Holiday,Portfolio; Reprint edition,9/30/2014
14556,1822,16,The Power of Habit: Why We Do What We Do in Life and Business,Charles Duhigg,Random House Trade Paperbacks,1/7/2014,The Power of Habit: Why We Do What We Do in Life and Business,Charles Duhigg,Random House Publishing Group,1/7/2014
14574,2399,16,The Power of Habit: Why We Do What We Do in Life and Business,Charles Duhigg,Random House Trade Paperbacks,1/7/2014,The Power of Habit: Why We Do What We Do in Life and Business,Charles Duhigg,Random House Publishing Group,1/7/2014
14684,2074,897,"The Grief Recovery Handbook, 20th Anniversary Expanded Edition: The Action Program for Moving Beyond Death, Divorce, and Other Losses including Health, Career, and Faith",John W. James,"William Morrow Paperbacks; 20th,Anniversary edition",1/10/2017,"The Grief Recovery Handbook, 20th Anniversary Expanded Edition: The Action Program for Moving Beyond Death, Divorce, and Other Losses including Health, Career, and Faith",John W. James,HarperCollins Publishers,1/10/2017
14711,1914,883,"It's Perfectly Normal: Changing Bodies, Growing Up, Sex, and Sexual Health (The Family Library)",Robie H. Harris,"Candlewick; Anniversary, New edition",8/8/2014,"It's Perfectly Normal: Changing Bodies, Growing Up, Sex, and Sexual Health",Robie H. Harris,Candlewick Press,8/8/2014
14722,1947,2391,"The Manual to Manhood: How to Cook the Perfect Steak, Change a Tire, Impress a Girl & 97 Other Skills You Need to Survive",Jonathan Catherman,Revell,4/15/2014,"East of West, Volume 2: We Are All One",Jonathan Hickman,Image Comics,4/15/2014
14734,1972,878,"Nudge: Improving Decisions About Health, Wealth, and Happiness",Richard H. Thaler,Penguin Books; Revised &amp; Expanded edition,2/24/2009,"Nudge: Improving Decisions about Health, Wealth, and Happiness",Richard H. Thaler,Penguin Publishing Group,2/24/2009
14735,2498,878,"Nudge: Improving Decisions About Health, Wealth, and Happiness",Richard H. Thaler,Penguin Books; Revised &amp; Expanded edition,2/24/2009,"Nudge: Improving Decisions about Health, Wealth, and Happiness",Richard H. Thaler,Penguin Publishing Group,2/24/2009
14784,2934,182,"Launch: An Internet Millionaire's Secret Formula To Sell Almost Anything Online, Build A Business You Love, And Live The Life Of Your Dreams",Jeff Walker,Morgan James Publishing; 1st edition,6/24/2014,"Launch: An Internet Millionaire's Secret Formula To Sell Almost Anything Online, Build A Business You Love, And Live The Life Of Your Dreams",Jeff Walker,Morgan James Publishing,6/24/2014
14796,2207,1259,To Sell Is Human: The Surprising Truth About Moving Others,Daniel H. Pink,Riverhead Books; Reprint edition,12/3/2013,"Unleash the Power of the Female Brain: Supercharging Yours for Better Health, Energy, Mood, Focus, and Sex",Daniel G. Amen,Potter/TenSpeed/Harmony,12/3/2013
14800,2644,1259,To Sell Is Human: The Surprising Truth About Moving Others,Daniel H. Pink,Riverhead Books; Reprint edition,12/3/2013,"Unleash the Power of the Female Brain: Supercharging Yours for Better Health, Energy, Mood, Focus, and Sex",Daniel G. Amen,Potter/TenSpeed/Harmony,12/3/2013
14824,2045,890,The Anti-Inflammatory Diet & Action Plans: 4-Week Meal Plans to Heal the Immune System and Restore Overall Health,Dorothy Calimeris,Sonoma Press; 1 edition,10/21/2015,The Anti-Inflammatory Diet & Action Plans: 4-Week Meal Plans to Heal the Immune System and Restore Overall Health,Dorothy Calimeris,Arcas Publishing,10/21/2015
14893,2144,21,Daily Food Journal,Peter Pauper Press,Peter Pauper Press; Gjr edition,10/23/2015,Understanding Business Ethics / Edition 3,Peter A. Stanwick,SAGE Publications,10/23/2015
14922,2197,365,Don't Sweat the Small Stuff . . . and It's All Small Stuff: Simple Ways to Keep the Little Things from Taking Over Your Life (Don't Sweat the Small Stuff Series),Richard Carlson,Hachette Books; 1 edition,1/2/1996,Don't Sweat the Small Stuff . . . and It's All Small Stuff: Simple Ways to Keep the Little Things from Taking Over Your Life (Don't Sweat the Small Stuff Series),Richard Carlson,Hachette Books; 1 edition,1/2/1996
14923,2643,365,Don't Sweat the Small Stuff . . . and It's All Small Stuff: Simple Ways to Keep the Little Things from Taking Over Your Life (Don't Sweat the Small Stuff Series),Richard Carlson,Hachette Books; 1 edition,1/2/1996,Don't Sweat the Small Stuff . . . and It's All Small Stuff: Simple Ways to Keep the Little Things from Taking Over Your Life (Don't Sweat the Small Stuff Series),Richard Carlson,Hachette Books; 1 edition,1/2/1996
14961,2311,939,"Rosemary Gladstar's Herbal Recipes for Vibrant Health: 175 Teas, Tonics, Oils, Salves, Tinctures, and Other Natural Remedies for the Entire Family",Rosemary Gladstar,"Storey Publishing, LLC; Reprint edition",9/3/2008,"Rosemary Gladstar's Herbal Recipes for Vibrant Health: 175 Teas, Tonics, Oils, Salves, Tinctures, and Other Natural Remedies for the Entire Family",Rosemary Gladstar,Storey Books,9/3/2008
14992,2371,2816,Erste 100 Wesentliche Worter: Kompakte Auflage (German Edition),Mary King,CreateSpace Independent Publishing Platform; 1 edition,9/9/2017,Erste 100 Wesentliche Worter: Kompakte Auflage (German Edition),Mary King,CreateSpace Independent Publishing Platform; 1 edition,9/9/2017
