ID,Publisher,Time,Author,Title
3746,Penguin Publishing Group,09/28/2008,James Agee,A Death in the Family
3747,Knopf Doubleday Publishing Group,08/28/1984,Jay McInerney,"Bright Lights, Big City"
3748,Houghton Mifflin Harcourt,05/28/2000,John Dos Passos,"The 42nd Parallel: The U.S.A. Trilogy, Volume 1"
3749,Knopf Doubleday Publishing Group,08/21/1993,Philip Roth,"Goodbye, Columbus: And Five Short Stories"
3750,"Little, Brown and Company",03/20/2018,Michael Farris Smith,The Fighter
3751,Random House Publishing Group,02/28/1993,Cristina García,Dreaming in Cuban
3752,Random House Publishing Group,05/03/2011,Gary Shteyngart,Super Sad True Love Story
3753,Random House Publishing Group,04/26/2016,George Saunders,CivilWarLand in Bad Decline
3754,"Little, Brown and Company",04/10/2012,David Foster Wallace,The Pale King
3755,Knopf Doubleday Publishing Group,09/28/1975,Edgar Allan Poe,Complete Tales and Poems
3756,Perfection Learning Corporation,01/28/2007,Shirley Jackson,The Lottery
3757,Penguin Publishing Group,01/19/2012,Ken Kesey,One Flew Over the Cuckoo's Nest: 50th Anniversary Edition
3758,Penguin Publishing Group,03/06/2018,Ramona Ausubel,Awayland
3759,Penguin Publishing Group,07/01/2014,Karen White,Grand Central: Original Stories of Postwar Love and Reunion
3760,HarperCollins Publishers,09/15/2009,Joyce Carol Oates,Blonde
3761,Random House Publishing Group,07/04/2017,Matthew Klam,Who Is Rich?
3762,Penguin Publishing Group,04/28/1995,John Steinbeck,The Pastures of Heaven
3763,Scribner,03/20/2018,John Edgar Wideman,American Histories
3764,Penguin Publishing Group,06/28/1983,Gloria Naylor,The Women of Brewster Place
3765,Knopf Doubleday Publishing Group,02/01/1991,William Faulkner,"Go Down, Moses"
3766,Picador,05/28/2001,Paul Beatty,The White Boy Shuffle
3767,Knopf Doubleday Publishing Group,10/07/2014,Jenny  Offill,Dept. of Speculation
3768,HarperCollins Publishers,06/20/2017,Lionel Shriver,"The Mandibles: A Family, 2029-2047"
3769,Barnes & Noble,04/01/2006,Herman Melville,Billy Budd and the Piazza Tales (Barnes & Noble Classics Series)
3770,Knopf Doubleday Publishing Group,10/08/2002,Jennifer Egan,Look at Me
3771,Knopf Doubleday Publishing Group,05/06/2014,Hanya Yanagihara,The People in the Trees
3772,New York Review Books,08/28/2001,Elizabeth Hardwick,Sleepless Nights
3773,HarperCollins Publishers,03/04/2014,Alissa Nutting,Tampa
3774,Knopf Doubleday Publishing Group,04/07/2009,Chuck Palahniuk,Snuff
3775,Scribner,11/15/2005,Annie Proulx,Brokeback Mountain
